category,nodes
Category:Abstract_algebra,180
Category:Algebra,113
Category:Algebraic_curves,101
Category:Algebraic_geometry,202
Category:Algebraic_number_theory,108
Category:Algebraic_topology,182
Category:Category_theory,109
Category:Combinatorics,136
Category:Combinatorialists,131
Category:Commutative_algebra,99
Category:Complex_analysis,181
Category:Functional_analysis,191
Category:Mathematical_analysis,205
Category:Fourier_analysis,122
Category:Differential_geometry,260
Category:Differential_topology,105
Category:Riemannian_geometry,152
Category:General_topology,136
Category:Geometric_topology,118
Category:Topology,198
Category:Geometry,229
Category:Linear_algebra,239
Category:Number_theory,216
Category:Numerical_analysis,146
Category:Numerical_differential_equations,107
Category:Partial_differential_equations,184
Category:Polynomials,166
Category:Special_functions,87
Category:Functions_and_mappings,96
Category:Probability_theory,171
Category:Probability_theorists,114
Category:Mathematical_optimization,165
Category:Mathematical_series,98
Category:Mathematical_theorems,963
Category:Mathematical_terminology,99
Category:Data_analysis,95
Category:Regression_analysis,132
Category:Statistical_mechanics,204
Category:Statistical_terminology,189
Category:Statistical_tests,102
Category:Mathematical_finance,149
Category:Computer_arithmetic,116
Category:Numerical_software,101
Category:Mathematics-related_lists,179
