,title,category,pagerank
1,Function (mathematics),Category:Functions_and_mappings,0.00986223846720114
2,Vector space,Category:Abstract_algebra,0.007998413254437687
3,Complex number,Category:Complex_analysis,0.007037097229251139
4,Integer,Category:Algebraic_number_theory,0.0066523168633510045
5,Topological space,Category:Topology,0.0063374042218211244
6,Group (mathematics),Category:Abstract_algebra,0.006028593719163619
7,If and only if,Category:Mathematical_terminology,0.005878004990795018
8,Topology,Category:Topology,0.005628948763620581
9,Probability theory,Category:Probability_theory,0.00561346862483333
10,Euclidean space,Category:Linear_algebra,0.0053273330904224986
